               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.062913,            0.034981,            0.045245,             0.58418,             0.55041,             0.55764,             0.32459,            0.043441,            0.017983,            0.021104,            0.070062,           0.0033264,           0.0033264
                   1,            0.048466,            0.031342,            0.021729,             0.62444,             0.59466,             0.61783,             0.34865,            0.042777,            0.018401,            0.014988,             0.03993,           0.0065279,           0.0065279
                   2,            0.047284,            0.032724,            0.021226,              0.4781,             0.46009,             0.43646,             0.23029,            0.046531,            0.021578,            0.020392,           0.0096665,           0.0095974,           0.0095974
                   3,            0.047905,            0.035916,            0.024866,             0.47898,             0.43732,             0.43182,             0.22195,            0.044881,            0.023005,            0.020838,            0.009406,            0.009406,            0.009406
                   4,            0.046568,            0.035395,            0.023748,             0.52036,             0.42317,              0.4273,             0.23109,            0.045281,             0.02182,            0.022346,            0.009406,            0.009406,            0.009406
                   5,            0.045381,            0.035295,            0.022649,             0.49229,             0.43644,             0.40922,             0.21846,            0.044994,            0.022322,            0.020783,            0.009208,            0.009208,            0.009208
                   6,            0.044358,            0.034989,            0.020695,             0.57105,             0.47856,             0.50409,             0.29206,            0.043238,            0.021297,            0.016978,             0.00901,             0.00901,             0.00901
                   7,            0.043079,            0.034408,            0.019651,              0.5772,             0.49566,             0.52287,             0.30033,            0.041102,            0.021038,            0.015952,            0.008812,            0.008812,            0.008812
                   8,            0.042608,            0.034343,             0.01924,             0.59336,             0.52008,             0.55102,             0.33012,            0.040447,            0.020491,            0.015152,            0.008614,            0.008614,            0.008614
                   9,            0.041986,            0.034079,            0.018124,             0.62902,             0.52116,             0.56247,             0.34468,            0.040182,            0.020436,            0.015127,            0.008416,            0.008416,            0.008416
                  10,            0.041184,            0.033215,            0.017411,              0.6103,             0.54289,              0.5621,             0.34152,            0.040157,            0.020544,            0.015153,            0.008218,            0.008218,            0.008218
                  11,            0.041094,            0.033607,            0.016662,             0.60618,             0.56848,             0.58039,             0.35835,            0.039044,            0.020217,            0.015017,             0.00802,             0.00802,             0.00802
                  12,            0.040212,            0.032996,            0.015959,             0.65472,             0.55558,             0.58949,             0.36076,            0.039044,            0.020093,            0.014913,            0.007822,            0.007822,            0.007822
                  13,            0.039589,              0.0328,            0.015992,              0.6202,             0.55245,             0.58749,             0.36717,            0.038416,            0.020048,            0.013156,            0.007624,            0.007624,            0.007624
                  14,            0.039539,            0.032599,            0.015295,             0.64807,             0.56958,             0.60703,             0.37831,            0.038534,            0.020131,            0.012572,            0.007426,            0.007426,            0.007426
                  15,            0.039246,            0.032452,            0.014651,             0.64608,             0.55928,             0.60191,             0.38185,             0.03788,            0.019643,            0.013393,            0.007228,            0.007228,            0.007228
                  16,            0.038402,            0.032231,            0.014231,              0.6508,             0.56452,             0.61608,             0.39236,            0.037665,            0.019898,            0.012918,             0.00703,             0.00703,             0.00703
                  17,            0.038567,            0.032169,            0.014224,             0.65189,             0.58156,             0.61973,             0.39861,            0.037605,             0.01961,            0.012565,            0.006832,            0.006832,            0.006832
                  18,            0.037907,            0.032195,            0.013185,             0.64812,             0.59109,             0.62368,             0.40298,            0.037059,            0.019476,            0.012763,            0.006634,            0.006634,            0.006634
                  19,            0.037433,            0.031708,            0.013048,             0.63147,             0.60482,             0.62814,             0.40573,            0.036561,             0.01939,            0.011309,            0.006436,            0.006436,            0.006436
                  20,            0.037395,            0.031346,            0.012833,             0.65678,             0.59588,             0.63732,             0.41948,            0.036478,            0.019313,            0.013118,            0.006238,            0.006238,            0.006238
                  21,            0.036793,            0.031436,            0.012457,             0.67238,              0.6006,             0.63701,             0.42044,            0.035918,            0.019322,            0.012555,             0.00604,             0.00604,             0.00604
                  22,            0.036597,            0.031161,             0.01206,             0.65521,             0.59936,             0.63925,              0.4199,            0.036266,            0.019211,            0.013063,            0.005842,            0.005842,            0.005842
                  23,             0.03634,            0.030977,            0.011716,             0.68981,             0.59611,             0.64485,             0.42478,            0.036241,            0.019069,             0.01225,            0.005644,            0.005644,            0.005644
                  24,            0.036485,            0.031031,            0.011696,             0.68331,             0.61844,             0.65817,             0.43694,            0.035839,            0.019025,            0.011317,            0.005446,            0.005446,            0.005446
                  25,            0.035796,            0.030643,            0.011589,             0.66927,             0.61473,             0.64773,             0.43524,            0.035599,            0.019076,            0.011806,            0.005248,            0.005248,            0.005248
                  26,            0.035484,             0.03048,            0.010878,              0.6916,             0.62737,             0.66556,             0.44675,            0.035427,            0.018914,            0.011303,             0.00505,             0.00505,             0.00505
                  27,            0.035322,            0.030124,            0.010717,             0.69958,             0.61694,             0.66818,             0.44927,            0.035346,            0.018914,            0.010661,            0.004852,            0.004852,            0.004852
                  28,            0.034941,            0.030223,            0.010588,             0.70201,              0.6289,             0.66471,             0.44974,             0.03518,            0.018924,            0.011568,            0.004654,            0.004654,            0.004654
                  29,            0.034844,            0.029957,            0.010464,             0.71176,             0.61779,             0.67221,             0.45232,            0.035025,            0.018749,             0.01076,            0.004456,            0.004456,            0.004456
                  30,            0.034664,            0.029908,            0.010094,             0.68552,             0.63453,             0.68042,             0.45818,            0.034944,            0.018724,            0.010147,            0.004258,            0.004258,            0.004258
                  31,             0.03412,            0.029309,           0.0097204,             0.70164,             0.62668,              0.6753,             0.45978,             0.03497,            0.018972,            0.010768,             0.00406,             0.00406,             0.00406
                  32,             0.03377,            0.029306,           0.0096818,             0.69897,               0.633,             0.68212,             0.46312,            0.034858,             0.01876,            0.010472,            0.003862,            0.003862,            0.003862
                  33,            0.033759,            0.028913,           0.0095621,             0.68928,             0.64085,             0.68132,             0.46619,            0.034533,            0.018719,            0.010359,            0.003664,            0.003664,            0.003664
                  34,            0.033382,              0.0288,           0.0093701,             0.68697,             0.63932,             0.68303,             0.46719,             0.03448,            0.018795,            0.010495,            0.003466,            0.003466,            0.003466
                  35,            0.033438,            0.028641,           0.0089986,             0.70553,             0.64134,             0.68643,             0.47519,            0.034518,            0.018857,             0.01065,            0.003268,            0.003268,            0.003268
